0,1,2,3,4,5,6,7,8,JP,TW,CN,KR
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Buildings and Structures,Residential,,"Japan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Buildings and Structures, Residential, LCU",,"China, NGDP, Activity, Tertiary, Information and communication, LCU, YTD, 12M average","Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Buildings and Structures, LCU"
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Total,,,"Japan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, LCU","Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, LCU",,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, LCU"
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Construction,Total,,,"Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, LCU",,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Construction,Residential,,,,,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Construction,Non-Residential,,"Japan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Non-Residential, LCU",,,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Construction,Other,,,,,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Transport Equipment,,,"Japan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Transport Equipment, LCU","Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Transport Equipment, LCU",,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Other Machinery and Equipment,,,"Japan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Other Machinery and Equipment, LCU","Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Other Machinery and Equipment, LCU",,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Intellectual Property Products,,,"Japan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, LCU","Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, LCU",,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, LCU"
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Non-Residential,,"Japan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, Non-Residential, LCU",,,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Residential,,"Japan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, Residential, LCU","Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, LCU",,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Construction,Total,,"Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, Construction, LCU",,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Construction,Residential,,,,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Construction,Non-Residential,,,,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Construction,Other,,,,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Transport Equipment,,"Japan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Transport Equipment, LCU tn","Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, Transport Equipment, LCU",,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, LCU"
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Other Machinery and Equipment,,"Japan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Other Machinery and Equipment, LCU tn","Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, Other Machinery and Equipment, LCU",,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Intellectual Property Products,,,"Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, Intellectual Property Products, LCU",,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Construction,Total,"Japan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, LCU","Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, Construction, LCU",,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Construction,Residential,,,,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Construction,Non-Residential,,,,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Construction,Other,,,,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Transport Equipment,,,"Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, Transport Equipment, LCU",,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, LCU"
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Other Machinery and Equipment,,,"Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, Other Machinery and Equipment, LCU",,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Intellectual Property Products,,,"Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, Intellectual Property Products, LCU",,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Inventories,Total,,,"Japan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Inventories, LCU","Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Inventories, LCU",,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Inventories, LCU"
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Inventories,Private,,,,,,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Inventories,Public,,,,,,
NGDP Q,LCU,Expenditure,Net Exports of Goods and Services Contribution,,,,,,,,"China, NGDP, Activity, Tertiary, Leasing and Business Services, LCU",
NGDP Q,LCU,Expenditure,Net Exports of Goods and Services,Total,,,,,"Japan, NGDP, Expenditure, Net Exports of Goods and Services, LCU","Taiwan, NGDP, Expenditure, Net Exports of Goods and Services, LCU",,
NGDP Q,LCU,Expenditure,Net Exports of Goods and Services,Exports of Goods and Services,Total,,,,"Japan, NGDP, Expenditure, Net Exports of Goods and Services, Exports of Goods and Services, LCU","Taiwan, NGDP, Expenditure, Net Exports of Goods and Services, Exports of Goods and Services, LCU",,"Korea, NGDP, Expenditure, Net Exports of Goods and Services, Exports of Goods and Services, LCU"
NGDP Q,LCU,Expenditure,Net Exports of Goods and Services,Exports of Goods and Services,Goods,,,,"Japan, NGDP, Expenditure, Net Exports of Goods and Services, Exports of Goods and Services, Goods, LCU","Taiwan, NGDP, Expenditure, Net Exports of Goods and Services, Exports of Goods and Services, Goods, LCU",,"Korea, NGDP, Expenditure, Net Exports of Goods and Services, Exports of Goods and Services, Goods, LCU"
NGDP Q,LCU,Expenditure,Net Exports of Goods and Services,Exports of Goods and Services,Services,,,,"Japan, NGDP, Expenditure, Net Exports of Goods and Services, Exports of Goods and Services, Services, LCU","Taiwan, NGDP, Expenditure, Net Exports of Goods and Services, Exports of Goods and Services, Services, LCU",,"Korea, NGDP, Expenditure, Net Exports of Goods and Services, Exports of Goods and Services, Services, LCU"
NGDP Q,LCU,Expenditure,Net Exports of Goods and Services,Imports of Goods and Services,Total,,,,"Japan, NGDP, Expenditure, Net Exports of Goods and Services, Imports of Goods and Services, LCU","Taiwan, NGDP, Expenditure, Net Exports of Goods and Services, Imports of Goods and Services, LCU",,"Korea, NGDP, Expenditure, Net Exports of Goods and Services, Imports of Goods and Services, LCU"
NGDP Q,LCU,Expenditure,Net Exports of Goods and Services,Imports of Goods and Services,Goods,,,,"Japan, NGDP, Expenditure, Net Exports of Goods and Services, Imports of Goods and Services, Goods, LCU","Taiwan, NGDP, Expenditure, Net Exports of Goods and Services, Imports of Goods and Services, Goods, LCU",,"Korea, NGDP, Expenditure, Net Exports of Goods and Services, Imports of Goods and Services, Goods, LCU"
NGDP Q,LCU,Expenditure,Net Exports of Goods and Services,Imports of Goods and Services,Services,,,,"Japan, NGDP, Expenditure, Net Exports of Goods and Services, Imports of Goods and Services, Services, LCU","Taiwan, NGDP, Expenditure, Net Exports of Goods and Services, Imports of Goods and Services, Services, LCU",,"Korea, NGDP, Expenditure, Net Exports of Goods and Services, Imports of Goods and Services, Services, LCU"
NGDP Q,LCU,Activity,Import Duties,,,,,,,"Taiwan, NGDP, Activity, Import Duties, LCU",,
NGDP Q,LCU,Activity,GDP,,,,,,,,,
NGDP Q,LCU,Activity,Total,,,,,,,,,
NGDP Q,LCU,Activity,output gap,,,,,,"Japan, NGDP, Activity, Sub-total, LCU",,,
NGDP Q,LCU,Activity,HP filter trend,,,,,,"Japan, NGDP, Activity, LCU tn","Taiwan, NGDP, Income, GNI, LCU","China, NGDP, Activity, LCU, YTD",
NGDP Q,LCU,Activity,Revisions,,,,,,"Japan, NGDP, Excess savings, LCU",,,
NGDP Q,LCU,Activity,Agriculture,forestry and fishing,,,,,,,,
NGDP Q,LCU,Activity,Business activities,,,,,,"Japan, NGDP, Activity, LCU","Taiwan, NGDP, Activity, Tertiary, Business, LCU","China, NGDP, Activity, LCU","Korea, NGDP, Activity, LCU"
NGDP Q,LCU,Activity,Construction,,,,,,,,,
NGDP Q,LCU,Activity,Cultural and other services,,,,,,,,,"Korea, NGDP, Activity, Tertiary, Cultural and other services, LCU"
NGDP Q,LCU,Activity,Education,,,,,,,,,
NGDP Q,LCU,Activity,Electricity,gas and water supply,,,,,,,,
NGDP Q,LCU,Activity,Finance and insurance,,,,,,,,,
NGDP Q,LCU,Activity,Gross domestic product at market prices,,,,,,"Japan, NGDP, Activity, Gross domestic product (not including statistical discrepancy), LCU",,,"Korea, NGDP, Activity, GDP at market prices, LCU"
NGDP Q,LCU,Activity,Gross value added at market prices,,,,,,"Japan, NGDP, Expenditure, Net Exports of Goods and Services, LCU tn",,,"Korea, NGDP, Activity, Gross value added at basic prices, LCU"
NGDP Q,LCU,Activity,Human health and social work,,,,,,,,,
NGDP Q,LCU,Activity,Information and communication,,,,,,,,,
NGDP Q,LCU,Activity,Manufacturing,,,,,,,,,
NGDP Q,LCU,Activity,Mining and quarrying,,,,,,,,,"Korea, NGDP, Activity, Mining, quarrying and manufacturing, LCU"
NGDP Q,LCU,Activity,Public administration,defence and social activity,,,,,,,,
NGDP Q,LCU,Activity,Real estate,,,,,,,,,
NGDP Q,LCU,Activity,Taxes less subsidies on products,,,,,,"Japan, NGDP, Post-covid excess savings, LCU tn",,,"Korea, NGDP, Activity, Taxes less subsidies on products, LCU"
NGDP Q,LCU,Activity,Transportation and Storage,,,,,,,,,
NGDP Q,LCU,Activity,Wholesale and retail trade,accommodation and food services,,,,,,,,"Korea, NGDP, Activity, Tertiary, Wholesale and retail trade, accommodation and food services, LCU"
NGDP Q,LCU,Activity,Primary,Total,,,,,"Japan, NGDP, Activity, Primary, LCU","Taiwan, NGDP, Activity, Primary, LCU","China, NGDP, Activity, Primary, LCU",
NGDP Q,LCU,Activity,Primary,Agriculture,forestry and fishing,,,,"Japan, NGDP, Activity, Primary, Agriculture, forestry and fishing, LCU","Taiwan, NGDP, Activity, Primary, Agriculture, LCU","China, NGDP, Activity, Primary, Agriculture, LCU","Korea, NGDP, Activity, Primary, Agriculture, Fishing and aquaculture, LCU"
NGDP Q,LCU,Activity,Primary,Mining,,,,,"Japan, NGDP, Activity, Primary, Mining, LCU","Taiwan, NGDP, Activity, Primary, Mining, LCU",,"Korea, NGDP, Activity, Primary, Mining, LCU"
NGDP Q,LCU,Activity,Secondary,Total,,,,,"Japan, NGDP, Activity, Secondary, LCU","Taiwan, NGDP, Activity, Secondary, LCU","China, NGDP, Activity, Secondary, LCU","Korea, NGDP, Activity, Secondary, LCU"
NGDP Q,LCU,Activity,Secondary,Manufacturing,Total,,,,"Japan, NGDP, Activity, Secondary, Manufacturing, LCU","Taiwan, NGDP, Activity, Secondary, Manufacturing, LCU",,"Korea, NGDP, Activity, Secondary, Manufacturing, LCU"
NGDP Q,LCU,Activity,Secondary,Manufacturing,Electronic components and devices,,,,"Japan, NGDP, Activity, Secondary, Manufacturing, Electronic components and devices, LCU",,,"Korea, NGDP, Activity, Secondary, Manufacturing, Computer, electronic and optical products, LCU"
NGDP Q,LCU,Activity,Secondary,Manufacturing,Fabricated metal products,,,,"Japan, NGDP, Activity, Secondary, Manufacturing, Fabricated metal products, LCU",,,"Korea, NGDP, Activity, Secondary, Manufacturing, Fabricated metal products, LCU"
NGDP Q,LCU,Activity,Secondary,Manufacturing,Basic metal,,,,"Japan, NGDP, Activity, Secondary, Manufacturing, Basic metal, LCU",,,"Korea, NGDP, Activity, Secondary, Manufacturing, Basic metals, LCU"
NGDP Q,LCU,Activity,Secondary,Manufacturing,Food products and beverages,,,,"Japan, NGDP, Activity, Secondary, Manufacturing, Food products and beverages, LCU",,"China, NGDP, Activity, Secondary, Industry, Manufacturing, LCU, 12M average","Korea, NGDP, Activity, Secondary, Manufacturing,  Food, beverages products, LCU"
NGDP Q,LCU,Activity,Secondary,Manufacturing,Textile products,,,,"Japan, NGDP, Activity, Secondary, Manufacturing, Textile products, LCU",,,"Korea, NGDP, Activity, Secondary, Manufacturing, Textile and leather products, LCU"
NGDP Q,LCU,Activity,Secondary,Manufacturing,Pulp,paper and paper products,,,"Japan, NGDP, Activity, Secondary, Manufacturing, Pulp, paper and paper products, LCU",,,
NGDP Q,LCU,Activity,Secondary,Manufacturing,Chemicals,,,,"Japan, NGDP, Activity, Secondary, Manufacturing, Chemicals, LCU",,"China, NGDP, Activity, Secondary, Industry, Manufacturing, LCU",
NGDP Q,LCU,Activity,Secondary,Manufacturing,Petroleum and coal products,,,,"Japan, NGDP, Activity, Secondary, Manufacturing, Petroleum and coal products, LCU",,,"Korea, NGDP, Activity, Secondary, Manufacturing, Coke and refined petroleum products, LCU"
NGDP Q,LCU,Activity,Secondary,Manufacturing,Non-metallic mineral products,,,,"Japan, NGDP, Activity, Secondary, Manufacturing, Non-metallic mineral products, LCU",,,"Korea, NGDP, Activity, Secondary, Manufacturing, Non-metallic mineral products, LCU"
NGDP Q,LCU,Activity,Secondary,Manufacturing,Fabricated metal products,,,,,,,
NGDP Q,LCU,Activity,Secondary,Manufacturing,General-purpose,production and business oriented machinery,,,"Japan, NGDP, Activity, Secondary, Manufacturing, General-purpose, production and business oriented machinery, LCU",,,"Korea, NGDP, Activity, Secondary, Manufacturing, Machinery and equipment, LCU"
NGDP Q,LCU,Activity,Secondary,Manufacturing,Electrical machinery,equipment and supplies,,,"Japan, NGDP, Activity, Secondary, Manufacturing, Electrical machinery, equipment and supplies, LCU",,,
NGDP Q,LCU,Activity,Secondary,Manufacturing,Information and communication electronics equipment,,,,"Japan, NGDP, Activity, Secondary, Manufacturing, Information and communication electronics equipment, LCU",,,"Korea, NGDP, Activity, Secondary, Manufacturing, Electrical equipment, LCU"
NGDP Q,LCU,Activity,Secondary,Manufacturing,Transport equipment,,,,"Japan, NGDP, Activity, Secondary, Manufacturing, Transport equipment, LCU",,"China, NGDP, Activity, Secondary, Industry, Manufacturing, LCU, YTD","Korea, NGDP, Activity, Secondary, Manufacturing, Transportation equipment, LCU"
NGDP Q,LCU,Activity,Secondary,Manufacturing,Other manufacturing,,,,"Japan, NGDP, Activity, Secondary, Manufacturing, Other manufacturing, LCU",,,
NGDP Q,LCU,Activity,Secondary,Electricity,gas and water supply,waste management service,,,"Japan, NGDP, Activity, Secondary, Electricity, gas and water supply, waste management service, LCU",,,"Korea, NGDP, Activity, Secondary, Utilities, Water supply, sewerage, waste management and remediation activities, LCU"
NGDP Q,LCU,Activity,Secondary,Construction,,,,,"Japan, NGDP, Activity, Secondary, Construction, LCU","Taiwan, NGDP, Activity, Secondary, Construction, LCU","China, NGDP, Activity, Secondary, Construction, LCU","Korea, NGDP, Activity, Secondary, Construction, LCU"
NGDP Q,LCU,Activity,Secondary,Utilities,Total,,,,,"Taiwan, NGDP, Activity, Secondary, Utilities, LCU",,"Korea, NGDP, Activity, Secondary, Utilities, LCU"
NGDP Q,LCU,Activity,Secondary,Utilities,Electricity and gas,,,,"Japan, NGDP, Activity, Secondary, LCU tn","Taiwan, NGDP, Activity, Secondary, Utilities, Electricity and gas, LCU","China, NGDP, Activity, Secondary, LCU, YTD","Korea, NGDP, Activity, Secondary, Utilities, Electricity, LCU"
NGDP Q,LCU,Activity,Secondary,Utilities,Water supply,,,,,"Taiwan, NGDP, Activity, Secondary, Utilities, Water supply, LCU",,
NGDP Q,LCU,Activity,Tertiary,Total,,,,,"Japan, NGDP, Activity, Tertiary, LCU","Taiwan, NGDP, Activity, Tertiary, LCU",,"Korea, NGDP, Activity, Tertiary, LCU"
NGDP Q,LCU,Activity,Tertiary,Total excluding statistical discrepancy,,,,,"Japan, NGDP, Activity, Statistical discrepancy, LCU tn","Taiwan, NGDP, Activity, Total excluding statistical disrepancy, LCU","China, NGDP, Activity, Tertiary, Others, LCU, YTD","Korea, NGDP, Expenditure, Statistical discrepancy, LCU"
NGDP Q,LCU,Activity,Tertiary,Total excluding taxes and statistical discrepancy,,,,,,,,
NGDP Q,LCU,Activity,Tertiary,Valued-Added Tax,,,,,,"Taiwan, NGDP, Activity, Value-Added Tax, LCU","China, NGDP, Activity, Tertiary, LCU, YTD",
NGDP Q,LCU,Activity,Tertiary,Arts,sports and recreation,,,,,"Taiwan, NGDP, Activity, Tertiary, Arts, sports and recreation, LCU",,"Korea, NGDP, Activity, Tertiary, Arts, sports and recreation, LCU"
NGDP Q,LCU,Activity,Tertiary,Wholesale and retail trade,,,,,"Japan, NGDP, Activity, Tertiary, Wholesale and retail trade, LCU","Taiwan, NGDP, Activity, Tertiary, Wholesale and retail, LCU","China, NGDP, Activity, Tertiary, Wholesale and retail trade, LCU","Korea, NGDP, Activity, Tertiary, Wholesale and retail trade, LCU"
NGDP Q,LCU,Activity,Tertiary,Transport and postal services,,,,,"Japan, NGDP, Activity, Tertiary, Transport and postal services, LCU",,,
NGDP Q,LCU,Activity,Tertiary,Transport and storage,,,,,,"Taiwan, NGDP, Activity, Tertiary, Transport and storage, LCU","China, NGDP, Activity, Tertiary, Transportation and storage, LCU","Korea, NGDP, Activity, Tertiary, Transportation and storage, LCU"
NGDP Q,LCU,Activity,Tertiary,Accommodation and food services,,,,,"Japan, NGDP, Activity, Tertiary, Accommodation and food services, LCU","Taiwan, NGDP, Activity, Tertiary, Accommodation and food services, LCU","China, NGDP, Activity, Tertiary, Accommodation and food services, LCU","Korea, NGDP, Activity, Tertiary, Accommodation and food services, LCU"
NGDP Q,LCU,Activity,Tertiary,Information and communications,,,,,"Japan, NGDP, Activity, Tertiary, Information and communications, LCU","Taiwan, NGDP, Activity, Tertiary, Information and communication, LCU","China, NGDP, Activity, Tertiary, Information and communication, LCU","Korea, NGDP, Activity, Tertiary, Information and communication, LCU"
NGDP Q,LCU,Activity,Tertiary,Finance and insurance,,,,,"Japan, NGDP, Activity, Tertiary, Finance and insurance, LCU","Taiwan, NGDP, Activity, Tertiary, Financial and insurance, LCU","China, NGDP, Activity, Tertiary, Finance and insurance, LCU","Korea, NGDP, Activity, Tertiary, Finance and insurance, LCU"
NGDP Q,LCU,Activity,Tertiary,Real estate,,,,,"Japan, NGDP, Activity, Tertiary, Real estate, LCU","Taiwan, NGDP, Activity, Tertiary, Real estate, LCU","China, NGDP, Activity, Tertiary, Real estate, LCU","Korea, NGDP, Activity, Tertiary, Real estate, LCU"
NGDP Q,LCU,Activity,Tertiary,Professional,scientific and technical,,,,"Japan, NGDP, Activity, Tertiary, Professional, scientific and technical, LCU","Taiwan, NGDP, Activity, Tertiary, Professional, scientific and technical services, LCU",,"Korea, NGDP, Activity, Tertiary, Business activities, Professional, scientific and technical services, LCU"
NGDP Q,LCU,Activity,Tertiary,Public administration,Total,,,,"Japan, NGDP, Activity, Tertiary, Public administration, LCU",,,
NGDP Q,LCU,Activity,Tertiary,Public administration,defence and social security,,,,,"Taiwan, NGDP, Activity, Tertiary, Public administration, defence and social security, LCU",,"Korea, NGDP, Activity, Tertiary, Public administration, defence and social security, LCU"
NGDP Q,LCU,Activity,Tertiary,Education,,,,,"Japan, NGDP, Activity, Tertiary, Education, LCU","Taiwan, NGDP, Activity, Tertiary, Education, LCU","China, NGDP, Activity, Tertiary, LCU","Korea, NGDP, Activity, Tertiary, Education, LCU"
