raw_data_name,data_type,cleaned_name
"China, NGDP, Activity, Tertiary, Leasing and Business Services, % YoY",p,"China, NGDP, Activity, Tertiary, Leasing and Business Services, LCU, % YoY"
"China, NGDP, Activity, Tertiary, Leasing and Business Services, CNY bn",b,"China, NGDP, Activity, Tertiary, Leasing and Business Services, LCU"
"China, NGDP, Activity, Tertiary, Leasing and Business Services, CNY bn, YTD",b,"China, NGDP, Activity, Tertiary, Leasing and Business Services, LCU, YTD"
"China, NGDP, Activity, Tertiary, Others, % YoY",p,"China, NGDP, Activity, Tertiary, Others, LCU, % YoY"
"China, NGDP, Activity, Tertiary, Others, CNY bn",b,"China, NGDP, Activity, Tertiary, Others, LCU"
"China, NGDP, Activity, Tertiary, Others, CNY bn, YTD",b,"China, NGDP, Activity, Tertiary, Others, LCU, YTD"
"China, NGDP, Activity, Tertiary, Real estate, % YoY",p,"China, NGDP, Activity, Tertiary, Real estate, LCU, % YoY"
"China, NGDP, Activity, Tertiary, Real estate, CNY bn",b,"China, NGDP, Activity, Tertiary, Real estate, LCU"
"China, NGDP, Activity, Tertiary, Real estate, CNY bn, YTD",b,"China, NGDP, Activity, Tertiary, Real estate, LCU, YTD"
"China, NGDP, Activity, Tertiary, Transportation and storage, % YoY",p,"China, NGDP, Activity, Tertiary, Transportation and storage, LCU, % YoY"
"China, NGDP, Activity, Tertiary, Transportation and storage, CNY bn",b,"China, NGDP, Activity, Tertiary, Transportation and storage, LCU"
"China, NGDP, Activity, Tertiary, Transportation and storage, CNY bn, YTD",b,"China, NGDP, Activity, Tertiary, Transportation and storage, LCU, YTD"
"China, NGDP, Activity, Tertiary, Wholesale and retail trade, % YoY",p,"China, NGDP, Activity, Tertiary, Wholesale and retail trade, LCU, % YoY"
"China, NGDP, Activity, Tertiary, Wholesale and retail trade, CNY bn",b,"China, NGDP, Activity, Tertiary, Wholesale and retail trade, LCU"
"China, NGDP, Activity, Tertiary, Wholesale and retail trade, CNY bn, YTD",b,"China, NGDP, Activity, Tertiary, Wholesale and retail trade, LCU, YTD"
"China, RGDP, Activity, Tertiary, Finance and insurance, % YoY",p,"China, RGDP, Activity, Tertiary, Finance and insurance, LCU, % YoY"
"China, RGDP, Activity, Tertiary, Finance and insurance, % YoY, YTD",p,"China, RGDP, Activity, Tertiary, Finance and insurance, % YoY, YTD, LCU"
"China, RGDP, Activity, Tertiary, Accommodation and food services, % YoY",p,"China, RGDP, Activity, Tertiary, Accommodation and food services, LCU, % YoY"
"China, RGDP, Activity, Tertiary, Accommodation and food services, % YoY, YTD",p,"China, RGDP, Activity, Tertiary, Accommodation and food services, % YoY, YTD, LCU"
"China, RGDP, Activity, Tertiary, Information and communication, % YoY",p,"China, RGDP, Activity, Tertiary, Information and communication, LCU, % YoY"
"China, RGDP, Activity, Tertiary, Information and communication, % YoY, YTD",p,"China, RGDP, Activity, Tertiary, Information and communication, % YoY, YTD, LCU"
"China, RGDP, Activity, Tertiary, Leasing and Business Services, % YoY",p,"China, RGDP, Activity, Tertiary, Leasing and Business Services, LCU, % YoY"
"China, RGDP, Activity, Tertiary, Leasing and Business Services, % YoY, YTD",p,"China, RGDP, Activity, Tertiary, Leasing and Business Services, % YoY, YTD, LCU"
"China, RGDP, Activity, Tertiary, Others, % YoY",p,"China, RGDP, Activity, Tertiary, Others, LCU, % YoY"
"China, RGDP, Activity, Tertiary, Others, % YoY, YTD",p,"China, RGDP, Activity, Tertiary, Others, % YoY, YTD, LCU"
"China, RGDP, Activity, Tertiary, Real estate, % YoY",p,"China, RGDP, Activity, Tertiary, Real estate, LCU, % YoY"
"China, RGDP, Activity, Tertiary, Real estate, % YoY, YTD",p,"China, RGDP, Activity, Tertiary, Real estate, % YoY, YTD, LCU"
"China, RGDP, Activity, Tertiary, Transportation and storage, % YoY",p,"China, RGDP, Activity, Tertiary, Transportation and storage, LCU, % YoY"
"China, RGDP, Activity, Tertiary, Transportation and storage, % YoY, YTD",p,"China, RGDP, Activity, Tertiary, Transportation and storage, % YoY, YTD, LCU"
"China, RGDP, Activity, Tertiary, Wholesale and retail trade, % YoY",p,"China, RGDP, Activity, Tertiary, Wholesale and retail trade, LCU, % YoY"
"China, RGDP, Activity, Tertiary, Wholesale and retail trade, % YoY, YTD",p,"China, RGDP, Activity, Tertiary, Wholesale and retail trade, % YoY, YTD, LCU"
"China, RGDP, Expenditure, Domestic Demand, Final Consumption Expenditure Contribution, %",,"China, RGDP, Expenditure, Domestic Demand, Final Consumption Expenditure Contribution, %"
"China, RGDP, Expenditure, Domestic Demand, Final Consumption Expenditure Contribution, YTD, %",,"China, RGDP, Expenditure, Domestic Demand, Final Consumption Expenditure Contribution, YTD, %"
"China, RGDP, Expenditure, Domestic Demand, Final Consumption Expenditure Contribution, YTD, ppts",,"China, RGDP, Expenditure, Domestic Demand, Final Consumption Expenditure Contribution, YTD, ppts"
"China, RGDP, Expenditure, Domestic Demand, Final Consumption Expenditure, Contribution to % YoY chg, ppts",p,"China, RGDP, Expenditure, Domestic Demand, Final Consumption Expenditure, LCU, Contribution to % YoY chg, ppts"
"China, RGDP, Expenditure, Domestic Demand, Gross Capital Formation Contribution, %",,"China, RGDP, Expenditure, Domestic Demand, Gross Capital Formation Contribution, %"
"China, RGDP, Expenditure, Domestic Demand, Gross Capital Formation Contribution, YTD, %",,"China, RGDP, Expenditure, Domestic Demand, Gross Capital Formation Contribution, YTD, %"
"China, RGDP, Expenditure, Domestic Demand, Gross Capital Formation Contribution, YTD, ppts",,"China, RGDP, Expenditure, Domestic Demand, Gross Capital Formation Contribution, YTD, ppts"
"China, RGDP, Expenditure, Domestic Demand, Gross Capital Formation, Contribution to % YoY chg, ppts",p,"China, RGDP, Expenditure, Domestic Demand, Gross Capital Formation, LCU, Contribution to % YoY chg, ppts"
"China, RGDP, Expenditure, Net Exports of Goods and Services Contribution, %",,"China, RGDP, Expenditure, Net Exports of Goods and Services Contribution, %"
"China, RGDP, Expenditure, Net Exports of Goods and Services Contribution, YTD, %",,"China, RGDP, Expenditure, Net Exports of Goods and Services Contribution, YTD, %"
"China, RGDP, Expenditure, Net Exports of Goods and Services Contribution, YTD, ppts",,"China, RGDP, Expenditure, Net Exports of Goods and Services Contribution, YTD, ppts"
"China, RGDP, Expenditure, Net Exports of Goods and Services, Contribution to % YoY chg, ppts",p,"China, RGDP, Expenditure, Net Exports of Goods and Services, LCU, Contribution to % YoY chg, ppts"
"China, NGDP, Activity, SA, CNY bn",b,"China, NGDP, Activity, LCU, SA"
"China, NGDP, Activity, Secondary, Construction, SA, CNY bn",b,"China, NGDP, Activity, Secondary, Construction, LCU, SA"
"China, NGDP, Activity, Tertiary, Accommodation and food services, SA, CNY bn",b,"China, NGDP, Activity, Tertiary, Accommodation and food services, LCU, SA"
"China, NGDP, Activity, Tertiary, Wholesale and retail trade, SA, CNY bn",b,"China, NGDP, Activity, Tertiary, Wholesale and retail trade, LCU, SA"
"China, NGDP, Activity, Secondary, Industry, Manufacturing, SA, CNY bn",b,"China, NGDP, Activity, Secondary, Industry, Manufacturing, LCU, SA"
"China, NGDP, Activity, Tertiary, SA, CNY bn",b,"China, NGDP, Activity, Tertiary, LCU, SA"
"China, NGDP, Activity, Secondary, SA, CNY bn",b,"China, NGDP, Activity, Secondary, LCU, SA"
"China, RGDP, Activity, SA, CNY bn",b,"China, RGDP, Activity, LCU, SA"
"China, Household survey, National, Per capita, Expenditure, Clothing and footwear, YTD, % YoY",p,"China, Household survey, National, Per capita, Expenditure, Clothing and footwear, YTD, LCU, % YoY"
"China, Household survey, National, Per capita, Expenditure, Clothing and footwear, YTD, CNY",,"China, Household survey, National, Per capita, Expenditure, Clothing and footwear, YTD, LCU"
"China, Household survey, National, Per capita, Expenditure, Education, culture and recreation, YTD, % YoY",p,"China, Household survey, National, Per capita, Expenditure, Education, culture and recreation, YTD, LCU, % YoY"
"China, Household survey, National, Per capita, Expenditure, Education, culture and recreation, YTD, CNY",,"China, Household survey, National, Per capita, Expenditure, Education, culture and recreation, YTD, LCU"
"China, Household survey, National, Per capita, Expenditure, Food and tobacco, YTD, % YoY",p,"China, Household survey, National, Per capita, Expenditure, Food and tobacco, YTD, LCU, % YoY"
"China, Household survey, National, Per capita, Expenditure, Food and tobacco, YTD, CNY",,"China, Household survey, National, Per capita, Expenditure, Food and tobacco, YTD, LCU"
"China, Household survey, National, Per capita, Expenditure, Household equipment, furnishings and services, YTD, % YoY",p,"China, Household survey, National, Per capita, Expenditure, Household equipment, furnishings and services, YTD, LCU, % YoY"
"China, Household survey, National, Per capita, Expenditure, Household equipment, furnishings and services, YTD, CNY",,"China, Household survey, National, Per capita, Expenditure, Household equipment, furnishings and services, YTD, LCU"
"China, Household survey, National, Per capita, Expenditure, Housing, YTD, % YoY",p,"China, Household survey, National, Per capita, Expenditure, Housing, YTD, LCU, % YoY"
"China, Household survey, National, Per capita, Expenditure, Housing, YTD, CNY",,"China, Household survey, National, Per capita, Expenditure, Housing, YTD, LCU"
"China, Household survey, National, Per capita, Expenditure, Medical, YTD, % YoY",p,"China, Household survey, National, Per capita, Expenditure, Medical, YTD, LCU, % YoY"
"China, Household survey, National, Per capita, Expenditure, Medical, YTD, CNY",,"China, Household survey, National, Per capita, Expenditure, Medical, YTD, LCU"
"China, Household survey, National, Per capita, Expenditure, Miscellaneous, YTD, % YoY",p,"China, Household survey, National, Per capita, Expenditure, Miscellaneous, YTD, LCU, % YoY"
"China, Household survey, National, Per capita, Expenditure, Miscellaneous, YTD, CNY",,"China, Household survey, National, Per capita, Expenditure, Miscellaneous, YTD, LCU"
"China, Household survey, National, Per capita, Expenditure, Transport and communication, YTD, % YoY",p,"China, Household survey, National, Per capita, Expenditure, Transport and communication, YTD, LCU, % YoY"
"China, Household survey, National, Per capita, Expenditure, Transport and communication, YTD, CNY",,"China, Household survey, National, Per capita, Expenditure, Transport and communication, YTD, LCU"
"China, Household survey, National, Per capita, Expenditure, YTD, % YoY",p,"China, Household survey, National, Per capita, Expenditure, YTD, LCU, % YoY"
"China, Household survey, National, Per capita, Expenditure, YTD, CNY",,"China, Household survey, National, Per capita, Expenditure, YTD, LCU"
"China, Household survey, National, Per capita, Income, Business, YTD, % YoY",p,"China, Household survey, National, Per capita, Income, Business, YTD, LCU, % YoY"
"China, Household survey, National, Per capita, Income, Business, YTD, CNY",,"China, Household survey, National, Per capita, Income, Business, YTD, LCU"
"China, Household survey, National, Per capita, Income, Disposable, Median, YTD, % YoY",p,"China, Household survey, National, Per capita, Income, Disposable, Median, YTD, LCU, % YoY"
"China, Household survey, National, Per capita, Income, Disposable, Median, YTD, CNY",,"China, Household survey, National, Per capita, Income, Disposable, Median, YTD, LCU"
"China, Household survey, National, Per capita, Income, Disposable, YTD, % YoY",p,"China, Household survey, National, Per capita, Income, Disposable, YTD, LCU, % YoY"
"China, Household survey, National, Per capita, Income, Disposable, YTD, CNY",,"China, Household survey, National, Per capita, Income, Disposable, YTD, LCU"
"China, Household survey, National, Per capita, Income, Property, YTD, % YoY",p,"China, Household survey, National, Per capita, Income, Property, YTD, LCU, % YoY"
"China, Household survey, National, Per capita, Income, Property, YTD, CNY",,"China, Household survey, National, Per capita, Income, Property, YTD, LCU"
"China, Household survey, National, Per capita, Income, Transfer, YTD, % YoY",p,"China, Household survey, National, Per capita, Income, Transfer, YTD, LCU, % YoY"
"China, Household survey, National, Per capita, Income, Transfer, YTD, CNY",,"China, Household survey, National, Per capita, Income, Transfer, YTD, LCU"
"China, Household survey, National, Per capita, Income, Wages, YTD, % YoY",p,"China, Household survey, National, Per capita, Income, Wages, YTD, LCU, % YoY"
"China, Household survey, National, Per capita, Income, Wages, YTD, CNY",,"China, Household survey, National, Per capita, Income, Wages, YTD, LCU"
"China, Household survey, Rural, Per capita, Expenditure, Clothing and footwear, YTD, % YoY",p,"China, Household survey, Rural, Per capita, Expenditure, Clothing and footwear, YTD, LCU, % YoY"
"China, Household survey, Rural, Per capita, Expenditure, Clothing and footwear, YTD, CNY",,"China, Household survey, Rural, Per capita, Expenditure, Clothing and footwear, YTD, LCU"
"China, Household survey, Rural, Per capita, Expenditure, Education, culture and recreation, YTD, % YoY",p,"China, Household survey, Rural, Per capita, Expenditure, Education, culture and recreation, YTD, LCU, % YoY"
"China, Household survey, Rural, Per capita, Expenditure, Education, culture and recreation, YTD, CNY",,"China, Household survey, Rural, Per capita, Expenditure, Education, culture and recreation, YTD, LCU"
"China, Household survey, Rural, Per capita, Expenditure, Food and tobacco, YTD, % YoY",p,"China, Household survey, Rural, Per capita, Expenditure, Food and tobacco, YTD, LCU, % YoY"
"China, Household survey, Rural, Per capita, Expenditure, Food and tobacco, YTD, CNY",,"China, Household survey, Rural, Per capita, Expenditure, Food and tobacco, YTD, LCU"
"China, Household survey, Rural, Per capita, Expenditure, Household equipment, furnishings and services, YTD, % YoY",p,"China, Household survey, Rural, Per capita, Expenditure, Household equipment, furnishings and services, YTD, LCU, % YoY"
"China, Household survey, Rural, Per capita, Expenditure, Household equipment, furnishings and services, YTD, CNY",,"China, Household survey, Rural, Per capita, Expenditure, Household equipment, furnishings and services, YTD, LCU"
"China, Household survey, Rural, Per capita, Expenditure, Housing, YTD, % YoY",p,"China, Household survey, Rural, Per capita, Expenditure, Housing, YTD, LCU, % YoY"
"China, Household survey, Rural, Per capita, Expenditure, Housing, YTD, CNY",,"China, Household survey, Rural, Per capita, Expenditure, Housing, YTD, LCU"
"China, Household survey, Rural, Per capita, Expenditure, Medical, YTD, % YoY",p,"China, Household survey, Rural, Per capita, Expenditure, Medical, YTD, LCU, % YoY"
"China, Household survey, Rural, Per capita, Expenditure, Medical, YTD, CNY",,"China, Household survey, Rural, Per capita, Expenditure, Medical, YTD, LCU"
"China, Household survey, Rural, Per capita, Expenditure, Miscellaneous, YTD, % YoY",p,"China, Household survey, Rural, Per capita, Expenditure, Miscellaneous, YTD, LCU, % YoY"
"China, Household survey, Rural, Per capita, Expenditure, Miscellaneous, YTD, CNY",,"China, Household survey, Rural, Per capita, Expenditure, Miscellaneous, YTD, LCU"
"China, Household survey, Rural, Per capita, Expenditure, Transport and communication, YTD, % YoY",p,"China, Household survey, Rural, Per capita, Expenditure, Transport and communication, YTD, LCU, % YoY"
"China, Household survey, Rural, Per capita, Expenditure, Transport and communication, YTD, CNY",,"China, Household survey, Rural, Per capita, Expenditure, Transport and communication, YTD, LCU"
"China, Household survey, Rural, Per capita, Expenditure, YTD, % YoY",p,"China, Household survey, Rural, Per capita, Expenditure, YTD, LCU, % YoY"
"China, Household survey, Rural, Per capita, Expenditure, YTD, CNY",,"China, Household survey, Rural, Per capita, Expenditure, YTD, LCU"
"China, Household survey, Rural, Per capita, Income, Business, YTD, % YoY",p,"China, Household survey, Rural, Per capita, Income, Business, YTD, LCU, % YoY"
"China, Household survey, Rural, Per capita, Income, Business, YTD, CNY",,"China, Household survey, Rural, Per capita, Income, Business, YTD, LCU"
"China, Household survey, Rural, Per capita, Income, Disposable, Median, YTD, % YoY",p,"China, Household survey, Rural, Per capita, Income, Disposable, Median, YTD, LCU, % YoY"
"China, Household survey, Rural, Per capita, Income, Disposable, Median, YTD, CNY",,"China, Household survey, Rural, Per capita, Income, Disposable, Median, YTD, LCU"
"China, Household survey, Rural, Per capita, Income, Disposable, YTD, % YoY",p,"China, Household survey, Rural, Per capita, Income, Disposable, YTD, LCU, % YoY"
"China, Household survey, Rural, Per capita, Income, Disposable, YTD, CNY",,"China, Household survey, Rural, Per capita, Income, Disposable, YTD, LCU"
"China, Household survey, Rural, Per capita, Income, Property, YTD, % YoY",p,"China, Household survey, Rural, Per capita, Income, Property, YTD, LCU, % YoY"
"China, Household survey, Rural, Per capita, Income, Property, YTD, CNY",,"China, Household survey, Rural, Per capita, Income, Property, YTD, LCU"
"China, Household survey, Rural, Per capita, Income, Transfer, YTD, % YoY",p,"China, Household survey, Rural, Per capita, Income, Transfer, YTD, LCU, % YoY"
"China, Household survey, Rural, Per capita, Income, Transfer, YTD, CNY",,"China, Household survey, Rural, Per capita, Income, Transfer, YTD, LCU"
"China, Household survey, Rural, Per capita, Income, Wages, YTD, % YoY",p,"China, Household survey, Rural, Per capita, Income, Wages, YTD, LCU, % YoY"
"China, Household survey, Rural, Per capita, Income, Wages, YTD, CNY",,"China, Household survey, Rural, Per capita, Income, Wages, YTD, LCU"
"China, Household survey, Urban, Per capita, Expenditure, Clothing and footwear, YTD, % YoY",p,"China, Household survey, Urban, Per capita, Expenditure, Clothing and footwear, YTD, LCU, % YoY"
"China, Household survey, Urban, Per capita, Expenditure, Clothing and footwear, YTD, CNY",,"China, Household survey, Urban, Per capita, Expenditure, Clothing and footwear, YTD, LCU"
"China, Household survey, Urban, Per capita, Expenditure, Education, culture and recreation, YTD, % YoY",p,"China, Household survey, Urban, Per capita, Expenditure, Education, culture and recreation, YTD, LCU, % YoY"
"China, Household survey, Urban, Per capita, Expenditure, Education, culture and recreation, YTD, CNY",,"China, Household survey, Urban, Per capita, Expenditure, Education, culture and recreation, YTD, LCU"
"China, Household survey, Urban, Per capita, Expenditure, Food and tobacco, YTD, % YoY",p,"China, Household survey, Urban, Per capita, Expenditure, Food and tobacco, YTD, LCU, % YoY"
"China, Household survey, Urban, Per capita, Expenditure, Food and tobacco, YTD, CNY",,"China, Household survey, Urban, Per capita, Expenditure, Food and tobacco, YTD, LCU"
"China, Household survey, Urban, Per capita, Expenditure, Household equipment, furnishings and services, YTD, % YoY",p,"China, Household survey, Urban, Per capita, Expenditure, Household equipment, furnishings and services, YTD, LCU, % YoY"
"China, Household survey, Urban, Per capita, Expenditure, Household equipment, furnishings and services, YTD, CNY",,"China, Household survey, Urban, Per capita, Expenditure, Household equipment, furnishings and services, YTD, LCU"
"China, Household survey, Urban, Per capita, Expenditure, Housing, YTD, % YoY",p,"China, Household survey, Urban, Per capita, Expenditure, Housing, YTD, LCU, % YoY"
"China, Household survey, Urban, Per capita, Expenditure, Housing, YTD, CNY",,"China, Household survey, Urban, Per capita, Expenditure, Housing, YTD, LCU"
"China, Household survey, Urban, Per capita, Expenditure, Medical, YTD, % YoY",p,"China, Household survey, Urban, Per capita, Expenditure, Medical, YTD, LCU, % YoY"
"China, Household survey, Urban, Per capita, Expenditure, Medical, YTD, CNY",,"China, Household survey, Urban, Per capita, Expenditure, Medical, YTD, LCU"
"China, Household survey, Urban, Per capita, Expenditure, Miscellaneous, YTD, % YoY",p,"China, Household survey, Urban, Per capita, Expenditure, Miscellaneous, YTD, LCU, % YoY"
"China, Household survey, Urban, Per capita, Expenditure, Miscellaneous, YTD, CNY",,"China, Household survey, Urban, Per capita, Expenditure, Miscellaneous, YTD, LCU"
"China, Household survey, Urban, Per capita, Expenditure, Transport and communication, YTD, % YoY",p,"China, Household survey, Urban, Per capita, Expenditure, Transport and communication, YTD, LCU, % YoY"
"China, Household survey, Urban, Per capita, Expenditure, Transport and communication, YTD, CNY",,"China, Household survey, Urban, Per capita, Expenditure, Transport and communication, YTD, LCU"
"China, Household survey, Urban, Per capita, Expenditure, YTD, % YoY",p,"China, Household survey, Urban, Per capita, Expenditure, YTD, LCU, % YoY"
"China, Household survey, Urban, Per capita, Expenditure, YTD, CNY",,"China, Household survey, Urban, Per capita, Expenditure, YTD, LCU"
"China, Household survey, Urban, Per capita, Income, Business, YTD, % YoY",p,"China, Household survey, Urban, Per capita, Income, Business, YTD, LCU, % YoY"
"China, Household survey, Urban, Per capita, Income, Business, YTD, CNY",,"China, Household survey, Urban, Per capita, Income, Business, YTD, LCU"
"China, Household survey, Urban, Per capita, Income, Disposable, Median, YTD, % YoY",p,"China, Household survey, Urban, Per capita, Income, Disposable, Median, YTD, LCU, % YoY"
